arrondissement_num,insee_code,arrondissement,year,population,density,persons_per_dwelling
18,75118,18e — Buttes-Montmartre,1999,184586.0,30713.1,1.83
18,75118,18e — Buttes-Montmartre,2006,190854.0,31756.1,1.85
18,75118,18e — Buttes-Montmartre,2011,203127.0,33798.2,1.87
18,75118,18e — Buttes-Montmartre,2016,195060.0,32455.9,1.85
18,75118,18e — Buttes-Montmartre,2022,185825.0,30919.3,1.8
19,75119,19e — Buttes-Chaumont,1968,148862.0,21923.7,2.34
19,75119,19e — Buttes-Chaumont,1975,144357.0,21260.2,2.18
19,75119,19e — Buttes-Chaumont,1982,162649.0,23954.2,2.13
19,75119,19e — Buttes-Chaumont,1990,165062.0,24309.6,2.17
19,75119,19e — Buttes-Chaumont,1999,172730.0,25438.9,2.15
19,75119,19e — Buttes-Chaumont,2006,186180.0,27419.7,2.2
19,75119,19e — Buttes-Chaumont,2011,186090.0,27406.5,2.17
19,75119,19e — Buttes-Chaumont,2016,186393.0,27451.1,2.13
19,75119,19e — Buttes-Chaumont,2022,178371.0,26269.7,2.03
20,75120,20e — Ménilmontant,1968,188921.0,31592.1,2.3
20,75120,20e — Ménilmontant,1975,175795.0,29397.2,2.1
20,75120,20e — Ménilmontant,1982,171971.0,28757.7,2.03
20,75120,20e — Ménilmontant,1990,184478.0,30849.2,2.04
20,75120,20e — Ménilmontant,1999,182952.0,30594.0,1.98
20,75120,20e — Ménilmontant,2006,193205.0,32308.5,1.99
20,75120,20e — Ménilmontant,2011,198042.0,33117.4,2.01
20,75120,20e — Ménilmontant,2016,195604.0,32709.7,1.97
20,75120,20e — Ménilmontant,2022,187694.0,31387.0,1.9
