name,year_opened,lat,lon,source,index_right,arrondissement_num,insee_code,arrondissement
Chemin Vert,1900,48.8574434,2.3681408,overpass,3,11,75111,11e — Popincourt
Ledru-Rollin,1900,48.8512945,2.3760274,overpass,13,12,75112,12e — Reuilly
Faidherbe — Chaligny,1900,48.8501609,2.3842222,overpass,3,11,75111,11e — Popincourt
Montgallet,1900,48.844304,2.3901962,overpass,13,12,75112,12e — Reuilly
Michel Bizot,1900,48.8370694,2.4024586,overpass,13,12,75112,12e — Reuilly
Porte Dorée,1900,48.8352765,2.4061775,overpass,13,12,75112,12e — Reuilly
Picpus,1900,48.8451759,2.4005236,overpass,13,12,75112,12e — Reuilly
Porte de Charenton,1900,48.8330612,2.4011868,overpass,13,12,75112,12e — Reuilly
Trinité d'Estienne d'Orves,1900,48.8763067,2.3326426,overpass,2,9,75109,9e — Opéra
Notre-Dame de Lorette,1900,48.8760405,2.3374234,overpass,2,9,75109,9e — Opéra
Saint-Georges,1900,48.8784466,2.3374748,overpass,2,9,75109,9e — Opéra
Abbesses,1900,48.8848041,2.3386421,overpass,1,18,75118,18e — Buttes-Montmartre
Lamarck - Caulaincourt,1900,48.8897556,2.3387677,overpass,1,18,75118,18e — Buttes-Montmartre
Jules Joffrin,1900,48.8925349,2.3446536,overpass,1,18,75118,18e — Buttes-Montmartre
Porte de la Chapelle,1900,48.897694,2.359259,overpass,1,18,75118,18e — Buttes-Montmartre
Simplon,1900,48.8938481,2.3478412,overpass,1,18,75118,18e — Buttes-Montmartre
Gare de l'Est,1900,48.8762027,2.3579127,overpass,0,10,75110,10e — Entrepôt
Cité,1900,48.8553245,2.347542,overpass,5,4,75104,4e — Hôtel-de-Ville
Saint-Michel,1900,48.8532864,2.3435081,overpass,10,6,75106,6e — Luxembourg
Saint-Germain-des-Prés,1900,48.8536304,2.334471,overpass,10,6,75106,6e — Luxembourg
Saint-Placide,1900,48.847098,2.3270206,overpass,10,6,75106,6e — Luxembourg
Vavin,1900,48.8422164,2.3290114,overpass,10,6,75106,6e — Luxembourg
Charles Michels,1913,48.84647,2.2858803,overpass,11,15,75115,15e — Vaugirard
Javel - André Citroën,1913,48.8461781,2.2782825,overpass,11,15,75115,15e — Vaugirard
Église d'Auteuil,1900,48.8473124,2.2686366,overpass,14,16,75116,16e — Passy
Porte d'Auteuil,1900,48.8480881,2.2587539,overpass,14,16,75116,16e — Passy
Chardon-Lagache,1900,48.8454285,2.2671305,overpass,14,16,75116,16e — Passy
Mirabeau,1900,48.8468116,2.2716976,overpass,14,16,75116,16e — Passy
Goncourt,1900,48.8699854,2.3710671,overpass,3,11,75111,11e — Popincourt
Pyrénées,1900,48.8738565,2.3852638,overpass,9,20,75120,20e — Ménilmontant
Jourdain,1900,48.8750944,2.38933,overpass,9,20,75120,20e — Ménilmontant
Riquet,1900,48.8884812,2.3742226,overpass,15,19,75119,19e — Buttes-Chaumont
Crimée,1900,48.8908513,2.3773681,overpass,15,19,75119,19e — Buttes-Chaumont
Corentin Cariou,1900,48.8947282,2.3823046,overpass,15,19,75119,19e — Buttes-Chaumont
Porte de la Villette,1900,48.8974039,2.385591,overpass,15,19,75119,19e — Buttes-Chaumont
